,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
0,143.65648966914023,0.0,1675.666503906971,2087.191574471704,1635.5934820953198,2810.6227423133914,3122.5411026656416,876.2423673147582,898.366171868488,592.6742427472454
1,1120.4422196504547,144.34540892294217,359.33445701945857,1209.0080950208107,32.659366737035725,1193.0885194632715,1368.8106167748501,1334.7513383941705,2165.613611022895,2000.7310148099468
2,217.421611673612,0.0,0.0,835.6034815525982,1166.6144194735093,1509.656663300425,1702.184975806712,918.2011784181559,1214.7617304733315,0.0
3,0.0,881.9373360114528,0.0,595.3863981276982,861.9642070855416,1446.9635333189817,1626.0039829199295,0.0,169.68103935390945,1529.2709979065376
4,2868.0769121434105,2867.2805150756803,2299.3690137518743,2341.639607637508,2237.034184711821,2446.4736565765534,2107.375006477607,762.0009651210282,2740.5,1252.0879167625662
5,1444.7468242391437,2084.0837524508547,3087.301306299758,3596.402737840303,2864.925844533448,3658.6742529582216,3703.0969299667245,0.0,169.87571252567432,1194.0928806650331
6,2251.9022310784912,1582.228080234865,1736.8263861127912,3266.5255814812817,2436.5226703787644,3494.3648779508744,3275.1724136804905,0.0,1002.954730401375,2399.5
7,84.14000282049665,1678.224807283616,3225.5070346339676,3615.5,1300.2328870608208,3727.7542108624248,3835.5658450636156,0.0,134.55498772683723,0.0
8,1711.8131221610138,2756.7621720797288,3297.3257308809725,3684.5,3799.0,3793.0,3652.5749269598427,0.0,569.2505512617827,0.0
9,2746.7891368326054,2919.5586097769346,3159.4163386432783,3693.0,3761.0,3822.0,3852.0,0.0,1084.7882001726678,0.0
10,2818.1563597393165,2763.9729181824173,3216.3617246376134,3557.827584167243,3511.0253345727406,3874.5,3887.5,191.18178980183984,2796.0,2450.5
11,1930.1635163649794,2179.1319079810423,2559.0216842573454,3419.567005124703,2648.2307577560714,3853.283967755756,3669.850408374633,272.8605420457525,1993.3003250515642,0.0
12,3025.4056119492516,3154.279801466709,3458.4268030314734,3773.742284629072,3575.651760789209,3614.8359864287663,2513.595908138073,0.0,2594.307947125839,2501.4771642706432
13,3185.0,3012.0470266601415,3491.0,3843.661760098602,3675.266769198395,2651.7912170082595,2833.2354079132037,1301.7365398860852,1679.1047458299024,1579.7100451543083
14,1984.5155074770723,2564.0926475141287,3523.5,3604.7308798406575,821.251056863719,3619.6450853673705,3446.156596111141,23.726549552310644,2293.018342129586,250.95955941846205
15,2855.9708534385577,3324.0,3590.0,3515.380538375758,2708.6390057314907,3511.344922308627,3416.4967254259964,0.0,2789.6793195476494,2492.103812916229
16,3178.5769922681575,3299.5,2864.6632659849824,3016.3334020495186,1720.5097776986427,2310.7916766882163,2795.4433923581796,1786.2864107956143,2631.6847254069007,1582.099684023665
17,1991.6833000077877,2844.143107974923,2746.796457144538,3765.2878049106016,3702.6896744284168,3329.225564546029,2519.810396864413,1444.6118108031928,1400.2058399887346,844.2498706821677
18,2442.807443421033,2465.5689533122477,1573.7974175943168,3350.472219796679,1443.5701161606066,3523.9767212410447,3232.1506001881426,1775.5477912485915,2677.5861885973745,2430.7559863553975
19,2459.4847599118116,3132.085546268299,2926.4177326915787,4053.5,3729.113781312688,4099.55858523843,3901.1556991751777,1657.8139033899313,2698.2598219825472,1670.7554339654498
20,2295.531007863102,3224.8878479399345,3003.4112087102303,3651.8523320145446,3088.9212107301046,4241.5,4078.8524785835343,1183.260787299204,1359.7972717702542,696.2102374088618
21,3203.5880145457986,3404.0,3634.143997342653,3258.031278492876,2939.9638686632843,3365.3681124436634,3077.4467296919242,2409.2608633594755,2631.155228310557,1230.4125293580769
22,3096.912986173104,2598.032301117942,3715.4539018250134,1640.9446977587477,1923.4786478581173,2580.120013095803,2459.323777318783,1569.2429689689884,2364.120885051503,2493.000749307839
23,1506.869369188788,346.4195182453868,0.0,0.0,0.0,0.0,1774.1272330754387,0.0,2176.8472737970633,1616.071255394443
24,1092.956726466129,2275.979884255841,490.62572530337184,3343.916123058494,2326.151351977647,2709.517619592437,3222.668969561983,0.0,416.39431906077243,829.6514429862568
25,2179.988308807436,2151.8333980216707,2144.262492422906,3389.7276330812247,3480.026328051402,3766.532979369366,3953.08482968304,1419.5710860489744,1753.277313451106,2010.2904170236252
26,0.0,939.4750360085072,1755.9086518514105,3611.968284108462,4311.5,3950.8061536194173,3098.2405581243306,0.0,0.0,0.0
27,2419.201041117945,2139.619559980443,2693.6833484698345,2138.339395630237,4092.2552641928446,2315.4381033745367,3002.6239045820507,453.52949862198284,1199.104760844048,987.1820661373167
28,3716.5,3312.6995183783006,3726.815246796435,3991.4758505755467,2432.6240230447293,4047.464094775688,4070.86662052312,2803.0,2829.4647254645383,2969.7283157601714
29,2346.395715717327,2061.826323060128,3469.521550825425,3730.137401489904,3777.757983962069,3123.8808445563545,2035.828003820638,616.5502484197423,1823.7102261927298,760.7748605015286
30,2452.191727366666,3558.7090494262925,1075.6647880597875,0.0,0.0,0.0,0.0,2764.4820381912427,2288.2853287546914,2724.6354468890777
31,2409.9873883751975,3268.0037090807273,3478.8653511658795,4149.310712273952,3387.4805518122357,4193.155040397375,3819.2777539905023,1549.7531031566618,2061.762159358035,1883.0357438972596
32,3823.0,3855.803954365838,3588.5920689831305,3326.3836981341374,3566.439744380963,2515.756806134371,1861.0015765987473,2621.0524957705547,3561.0,3259.0
33,3885.5,3852.5,3786.1762958061413,3857.4577421213257,3095.653857754146,4319.496681813108,4178.242987912575,0.0,3598.5,2260.4530745349666
34,2396.8499566914197,3350.0024349913388,4142.369478835102,3772.380520111682,2336.0490862038937,4344.415061831081,3943.5558490293715,3039.1774034736673,2901.354270612201,2651.870322133579
35,2942.491954288722,3540.1730828589853,3736.8470216909573,4065.8248029478727,1893.2767509647747,3496.01312733385,4151.906674142459,1561.036442091835,3734.0,1945.365778180906
36,3916.4537286416744,3367.416279881393,3717.5766928054004,4355.900235597055,3458.393758264306,4580.679820338069,4194.613569776202,2390.3191242800913,3662.233231158244,3000.5466454312664
37,4060.0,3838.8442588877338,3463.699202909796,4619.925819736547,4077.6569905989345,4623.913343737437,4384.296839580527,142.54292408327274,3321.9486935227555,3054.0749157951345
38,825.909292155764,1417.9887183707879,3284.72996749751,3926.19190906739,4093.4823278301337,4212.512716466529,3944.043315879755,2456.5473171218864,1016.0801364602275,2204.961501345564
39,2068.776184492689,2794.8162638597005,2581.7316785760854,4172.601965588552,3998.321818675832,4369.143542868358,4534.427601361385,2257.394040125138,1374.816711631603,2757.7507784941736
40,2201.4265130920885,2534.2953096135125,2564.8482372686026,3501.174592173429,2865.235017493675,3387.6140990472627,3749.137214624507,1811.6209819845726,2346.1364210108454,1598.836149810088
41,3617.072144916252,3826.582718916862,4402.532806651219,4571.073619224551,4237.874461297459,3966.4535997813064,4434.194184221307,1287.8054395613763,2905.134381685366,2393.7615916063455
42,4365.5,4278.442157756471,4064.2445541074862,5005.5,4521.451187543153,5090.745178138656,4947.790238551282,2197.344100063686,3912.4838945623123,3226.480882438797
43,3029.319449350146,3677.20302743159,3191.8032312523706,4961.3013611322385,4522.857256698599,4991.371371783772,4010.075240806022,1071.2887643024396,2077.943485219868,1705.2536722934205
44,2482.237621272353,3115.9977763710413,2045.48917460759,4993.0,4515.886888497664,5098.0,5073.0,1874.390839177158,3213.165478121211,1367.1720826535634
45,4419.580722944356,4473.5,4685.5,4706.869683915799,4312.045185944862,5206.5,5155.596489677346,20.55136354271872,3821.3634348967444,3341.1552130222767
46,3549.793095460399,2253.298642522001,2963.5151366417285,3381.6577123430798,2706.8902370425576,4258.466746994933,3758.078298429984,383.38002826167303,1978.4872098573069,0.0
47,2627.342669190788,4502.0,3157.3072067650683,4919.050599136373,4339.990434394933,5226.916962660446,5060.578615391947,3008.3671704810004,2933.2731928400935,2648.6574639614
48,3574.396090193447,2943.0773391203043,3837.713518828353,2112.055131655138,1727.9893598623948,3585.5566913128987,3090.291291820873,1712.2076227451657,1053.4371310109582,4051.5
49,4700.5,4626.0,4531.8107751757925,4864.939181658078,3156.8978545457235,4627.807520429239,4832.758656288177,3896.0,4544.5,4132.5
50,4295.8089934288255,4182.645226215301,4387.226556051054,4742.285516217864,3921.814216456175,4633.169957023292,4092.331113422165,2364.0818770913625,3541.0591354471853,3679.3626752185437
51,4056.3702301955523,4325.779497642711,4255.329836462933,3622.4621906221582,5041.567916285396,4723.175440017676,4591.46368913256,2208.957155078194,4519.0,2618.136301307106
52,4103.64601335279,4079.549764737866,4720.528976588474,4938.287535830934,5309.262672813571,5501.5,5467.5,2877.6578444738066,3407.506834303287,2817.165615623647
53,4443.308864394784,4329.553725285185,4490.26995859665,5132.892790807385,5238.62745649866,5434.884220156365,4770.564140462991,2348.513726542367,2728.634392951591,3567.6722791635957
54,3690.7645287712908,4435.897986767251,3664.342384494706,3636.6341419768123,5267.057948079173,4438.9993276234245,4679.533631243138,4017.3730382354397,3882.9341775852104,3344.049556107647
