,PGE_Valley,PGE_Bay,SCE,SDGE
0,0.0,0.0,1354.3167113913742,210.00385117095405
1,0.0,8.881784197001252e-16,12.91636948816254,2.05181911140082
2,0.0,0.0,955.91484843494,242.64125465094466
3,9.481789419719318,8.881784197001252e-16,29.355385200369405,5.968928324075113
4,5.489457032469079,8.881784197001252e-16,10.567938672132989,3.9171092126742932
5,326.6874654969688,0.0,5766.098464508995,731.9288608045377
6,213.55519399484191,0.0,2528.226339285392,978.6092263182076
7,0.0,0.0,364.6754466989627,0.0
8,734.2860566073804,0.0,9743.959220410652,1005.8765640746394
9,677.8870514979163,0.0,2450.4464992355165,1093.2260804588063
10,625.9572437085083,0.0,3611.465201996508,366.52818854174626
11,2.328860559229306,8.881784197001252e-16,38.74910846448762,5.782399313947766
12,17.067650881226285,0.0,717.7924754507056,81.5898442377507
13,34.60942601154718,0.0,831.6388743524474,42.82995582216097
14,2.994249290437679,8.881784197001252e-16,49.3170471366206,5.782399313947766
15,299.7863463355376,0.0,1984.6528541884702,127.10787496920068
16,57.38356906325887,0.0,1787.42758059843,362.0105382727821
17,188.142048766679,0.0,3326.578021961831,351.6135102563548
18,4.158679570052333,8.881784197001252e-16,3.5226462240443297,7.274631394966544
19,292.1696633152807,0.0,2070.1482558954035,320.3833925628537
20,752.2041602562956,0.0,7132.015614220787,654.7013325070711
21,83.15559909723014,0.0,3160.751309551188,322.5365772267075
22,0.0,0.0,4187.400340785918,398.371912385217
23,0.0,2.220446049250313e-16,60.9342388430714,3.920874018383286
24,11.36410699098631,2.220446049250313e-16,55.535002489887844,21.19722516188464
25,12.566079845802168,2.220446049250313e-16,80.2172258187269,26.098317684863744
26,12.566079845802168,2.220446049250313e-16,80.2172258187269,26.098317684863744
27,13.00316088391703,2.220446049250313e-16,192.05855027752884,12.007676681298815
28,0.0,0.0,764.9645410659125,44.428470798940104
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
