,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,7389.265709851869,17361.23249935631,2672.217204883463,14223.619444305017,6358.311986081309,5921.056311925177
1,6857.367023802966,16683.743718178877,2376.2999552669967,12908.932195175777,5605.46027923734,5499.87204817569
2,6607.0924402894525,16464.802175048364,2189.62225714954,12056.520937746021,5217.203766498163,5198.006472494793
3,6428.63452016108,16468.75147598503,2042.2148853377473,11235.124254808763,4903.608257386325,4942.733357509312
4,6364.342347084399,16859.02239116644,1938.548493588602,10755.509017909797,4588.694795727947,4805.083928595041
5,6518.471897459751,18024.284056442,1910.131879427122,10615.227770393054,4491.956735931145,4743.255873532309
6,6777.612524073299,20503.87392513556,1967.8881453648994,10820.564371096021,4590.309537084667,4792.394947292565
7,7045.408159531375,22039.50892049642,2065.5743377695435,10907.684188934281,4784.465682901156,5166.847707346475
8,7253.947891933411,22112.393997195428,2142.235766944085,10821.54838224439,5015.718529546159,5377.294040109569
9,7292.441430899106,21685.29083737052,2193.26771252824,10909.48877823506,5078.797017949929,5481.830925768367
10,7233.876199788222,21215.94924010805,2230.2064274861973,11114.628498186967,5257.047683225657,5510.860781338894
11,7132.0944061696155,20666.584358231357,2255.9175791290395,11375.12794500563,5292.845542730519,5440.455731698578
12,6978.52784024167,20079.639739640814,2260.2979787031218,11508.350625508976,5263.774184205606,5406.956954868843
13,6890.1789369315575,19584.49430385961,2270.251705397877,11564.064573804324,5215.0100499997425,5292.826132184429
14,6945.614951497707,19359.960840700187,2325.352146163859,11709.38072419922,5319.338638316103,5512.004250488759
15,7386.516991609538,20029.04699030307,2464.0787040118607,12337.886982135831,5613.606143873483,5802.259993272236
16,8389.87733769504,22322.018549121887,2721.5154481307386,13362.719985756372,6458.9689747771135,6285.855329400474
17,9075.01846349709,24370.701671379724,3013.1018148332005,14441.719424016648,7202.869717032578,6732.96351864917
18,9532.79673628283,24872.46673746295,3496.6575241729533,16865.531552640998,8357.937707230307,7559.830946151923
19,9588.060309231623,24618.270191345673,3693.8070497493086,17561.67334743841,8726.115237808563,7668.282608668619
20,9384.179008657818,23771.243759426205,3653.8921465526155,17398.864967250996,8650.334764007519,7574.344734222866
21,8996.967397361459,22113.891814247527,3535.8913930170424,17020.41196071863,8332.55098956868,7267.2543826573055
22,8414.751985657658,20219.112814705462,3291.8144626282183,16357.235138269607,7701.9999425927135,6888.1611125567615
23,7722.1734375529,18642.538897744536,2939.860477415108,15058.789505514065,6975.930849061142,6304.402129778822
24,6708.467487059013,17144.650096503057,2495.3699536661857,12683.29633798104,6537.137556899813,5439.879035572414
25,6197.431529783267,16478.84755950278,2186.0860420325275,11475.60541478373,5923.117806785652,4997.71302456875
26,6009.15467470894,16284.53854289645,2025.0143501869225,10758.086366579733,5439.763240276829,4717.52703184423
27,5875.741971017187,16303.572893950224,1906.6191955009454,10136.59656719081,5195.995691590861,4421.483156125978
28,5878.777761816106,16736.04201051773,1822.626604510754,9796.261765711346,4888.73409360442,4308.578435370151
29,6132.936058899425,18078.727790735767,1813.7554476072823,9826.844270564932,4809.909389640446,4329.080692643146
30,6512.1788033704515,20922.09374439589,1895.8662042515307,10244.239162337957,4972.738774424518,4537.494609861162
31,6860.132942962135,22492.966673740844,2021.0594170959891,10660.337595107861,5344.365646917562,4973.89241855142
32,7048.848403836139,22334.707454974276,2111.0651021802646,10918.293409954062,5542.661668739271,5133.769716044598
33,7034.153574449088,21616.799418263075,2176.464745448963,11252.145223868984,5626.987771524061,5252.9322047085625
34,6919.055982194371,20916.510637834228,2215.8084619154206,11523.768251101288,5893.0642037410535,5295.234889736126
35,6785.302034036101,20277.650703416835,2234.071839003411,11837.99507407805,5971.4281197535265,5180.26927457634
36,6609.761039572353,19653.512131311487,2231.4538803332794,11930.010873638541,5945.562756803357,5152.154897098305
37,6483.858461102862,19186.59686841391,2234.7205301845784,11926.975950146303,5870.2620139430455,5097.175590778357
38,6550.607573496568,19012.174507869557,2283.843071992818,12065.849081302766,5963.939292320902,5279.844770734328
39,7009.810591160953,19811.32149264303,2417.5968882362185,12668.595522628968,6359.356833740876,5506.585966060826
40,7968.058515422157,22188.72481031959,2669.3559035062576,13700.411852877334,6977.674303965658,6149.673867527286
41,8627.910019939505,24254.996957420724,2954.904208166099,14649.661774274835,7859.4832691631855,6502.715965537956
42,9069.530309126289,24707.024752436486,3407.4531807032486,16879.099174563053,9111.262718444728,7369.538700309054
43,9118.09061453099,24529.119594478147,3569.608194713682,17270.9230311725,9384.616673799435,7433.486054913746
44,8901.935998317582,23712.607614196084,3499.7033706227026,17065.12890601643,9222.392517928924,7284.234847335974
45,8502.115265065102,22064.377425912287,3375.346893808169,16719.866209458465,8903.028699146133,6926.992676551027
46,7905.894267280493,19943.465120265835,3183.35366039351,15854.481877189499,8298.250392082206,6507.12754890178
47,7215.195509580881,18326.824746624556,2849.963470777576,14523.220619248272,7490.327639509986,5920.943863511994
