,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,7056.761804272891,17184.534873962697,2162.9763388009073,10976.17022469045,5296.694549601731,4876.929508099235
1,6909.242057858659,16868.09789757362,2010.9539433677285,10401.929894113819,4920.462407090947,4743.9271649272905
2,6841.451939043953,16839.34517698613,1895.307965322497,9926.637007821264,4710.941228360849,4584.0479602410005
3,6868.263130008117,17050.703270446902,1820.466342881904,9497.172896753153,4587.250282766022,4476.581402048964
4,6994.968436642192,17672.63075370957,1778.7904652160669,9333.44025258749,4438.798129531502,4463.832915238325
5,7263.420314705105,19018.742099935807,1778.811872253503,9334.43513141584,4421.596289833802,4461.680094472298
6,7555.574362032697,21564.58994160435,1833.399473751384,9517.953915332184,4520.392101989727,4508.935015548209
7,7857.059463442292,23193.718802874562,1925.3924570714662,9596.187371910808,4714.162822816764,4864.244046002361
8,8092.005680749759,23284.421692866377,1997.6327656379526,9520.86387720737,4944.833847923167,5064.132375774414
9,8188.735471893197,22911.330856132914,2060.5655949626384,9669.110835211553,5051.908964378826,5194.857405759048
10,8122.972148325689,22416.571046186476,2095.2693589991586,9850.926750626073,5229.215938969521,5222.367550132486
11,7957.889543803182,21762.776265035376,2105.1966279179196,10015.069215754183,5222.742353919765,5125.59353129666
12,7743.187243360482,21098.07170835115,2097.473223593122,10077.613987162958,5158.8101734109805,5068.84109315699
13,7584.658727794007,20532.64963565676,2090.2069827565933,10049.046419206403,5061.155087458512,4925.582993819489
14,7450.335085853798,20110.152268336267,2086.907033572085,9919.545580333572,5002.064657532609,5016.968697815985
15,7523.202031665444,20399.12887764316,2098.96094225484,9921.793235739708,4944.948185461689,5042.185792137704
16,7978.742388520619,22128.34583497053,2152.8132864498843,9948.234691097114,5229.775889279061,5103.33034146109
17,8439.080903739825,24090.441526005456,2340.193201498111,10498.517320992025,5713.7131462586785,5344.180753436261
18,8505.69660783301,24269.252761122443,2669.1527993131513,12058.834921891063,6491.9595840264565,5863.005320803346
19,8413.052899812426,23877.83443392633,2811.0375134380356,12472.553823702048,6730.01472791954,5874.238987544392
20,8228.312985010587,23067.75504193465,2785.91946712806,12386.334450296397,6691.256360639606,5811.3732002344705
21,7915.253778938417,21507.19704070866,2709.1626152743333,12210.880134195837,6476.023113910414,5592.398446527995
22,7468.909119020874,19636.436665087644,2537.9611163852705,11895.664401482705,6020.67161023541,5355.893038199343
23,7062.641704476137,18216.222861829938,2311.352707996869,11232.90864564786,5606.190604363998,5022.482911601441
24,6013.796511250952,16623.482403499285,2080.6241650737347,9599.377231808307,5174.688277622602,4621.229787571479
25,5893.408725790415,16334.34860933738,1909.6102252239366,9120.470630834881,4947.645626662763,4462.666691665529
26,5894.257769749017,16334.08806038714,1814.390252207463,8765.129650666044,4659.4768591296615,4317.554285223604
