,BPA,PNW,CAISO
0,0.01804679546275227,0.023559785199415498,142.26022242603517
1,0.37176398481162165,0.4853315728611249,139.62577386259008
2,0.37898270471779927,0.4947554891877275,158.06691380670577
3,0.548622583788747,0.7162174723090691,206.36513746986586
4,0.0,0.0,176.5080537508214
5,0.0,0.0,211.63403459675604
6,0.0,0.0,278.37339820403173
7,0.009023397731376169,0.011779892599707792,241.49111831580043
8,0.06316378411963318,0.08245924819795454,226.56257645627824
9,0.06316378411963318,0.08245924819795454,139.62577386259008
10,0.0,0.0,201.09624034297562
11,0.09023397731376169,0.11779892599707792,358.28500462853304
12,0.12091352965422415,0.15785056090629784,540.0619555062447
13,0.2887487274040368,0.3769565631906485,552.3560488023218
14,0.09023397731376169,0.11779892599707792,368.8227988823134
15,0.01804679546275227,0.023559785199415498,340.72201420556576
16,0.3699593069864224,0.48297559658801875,381.11689217839063
17,0.6406612389277074,0.8363723745792525,470.68814333552376
18,0.12632756823926572,0.16491849639590825,923.8132962480803
19,0.0,0.0,1027.4349397435872
20,0.0,0.0,867.6117268945849
21,0.0,0.0,700.7633178763955
22,0.0,0.0,554.9904973657668
23,0.01804679546275227,0.023559785199415498,675.296981763093
24,3913.374535613758,5108.844041271224,1010.4856284559089
25,3638.0597494641966,4749.425260397124,995.8879227478782
26,3670.5387818572576,4791.826085975532,865.3195550260472
27,3614.1464990501145,4718.206917819993,742.8610238086777
28,3487.4153188511755,4552.761512860542,627.7013454453239
29,3411.873922113723,4454.143501453947,449.2849423471698
30,3630.4203891679417,4739.45220518008,373.86346285567737
31,3488.206258117858,4553.794070649945,306.55181986864653
32,2951.771801390472,3853.487991371373,337.3691985856005
33,2234.9312651699743,2917.6648370365197,301.6859179659696
34,1749.271233290991,2283.6439076905885,346.29001874050806
35,1419.586366017897,1853.2459086395522,331.69231303247733
36,1192.4957225412502,1556.7829275995434,294.3870651119542
37,1055.5080169509758,1377.9478028080623,404.6808415726313
38,769.70820466231,1004.8409982536683,450.09592599761595
39,467.93575354307427,610.8821847820813,297.63099971373885
40,177.15692140436192,231.2753543137884,344.6680514396159
41,27.38255484599509,35.74746063445834,1260.2685927933248
42,91.89891103484247,119.97246871389356,1468.6913909579866
43,124.68600473045055,162.77546309458296,1766.3223906717253
44,154.75392217640766,202.0286190292528,2321.8461912273415
45,175.99100811384653,229.75327430006075,2068.8192922881412
46,163.58221325717244,213.55380320779693,1638.9979575516795
47,143.59812774515612,187.46491872735785,1283.7871186562631
48,4073.626539739309,5318.050312975599,226.34670462336962
49,3787.0376611551096,4943.9133957638505,266.9106301831132
50,3820.8467042552165,4988.050527748324,277.4572508286466
51,3762.1451673108018,4911.416667507574,146.84141052627206
52,3630.2243674045603,4739.196302094726,87.61807920904627
53,3551.5895636570076,4636.539900335519,85.18424367546167
54,3779.0854703882283,4933.531945676538,65.71355940678474
55,3631.0476954961487,4740.271142945364,58.412052806030864
56,3072.646341404292,4011.2876519638276,64.90228089558985
57,2326.4513103552654,3037.1427028136623,85.18424367546167
58,1820.9035849463096,2377.158727083955,102.22109241055401
59,1477.7181799072607,1929.1360051008626,185.78277906362598
60,1241.3282142205599,1620.5329167370232,325.32268298914414
61,1098.7308859985585,1434.3745248022958,463.24002989227256
62,801.2276212850968,1045.9890617298913,628.7408461760267
63,487.0976409690925,635.8977036150033,670.1160502469652
64,184.4114664118484,240.74603970215196,817.7687392844321
65,28.50386568711556,37.21131290746157,850.2198797322271
66,95.66215540009958,124.88532036566524,657.9468725790422
67,129.79187485931843,169.44108989467156,566.2724008140215
68,161.09106827611498,210.30165571294384,423.4873828437237
69,183.19780917560504,239.16163077755226,298.5504921197133
70,170.28087633559505,222.2987941717951,258.79784507116455
71,149.4784460102283,195.14157442588552,201.19707077632856
72,1160.877627756188,1515.5060414571647,1102.028197070111
73,1210.5818165671944,1580.394016406259,932.213258195744
74,983.0446077459133,1283.3480518876152,841.1146191120991
75,1005.3641801365483,1312.4858748518907,814.5810349129791
