Scenario,State,Energy,Type,Year,Capacity
MID,WA,Land-based Wind,WIND,2034,1.4102688951625
MID,WA,Land-based Wind,WIND,2036,1.6738510049825
MID,WA,Land-based Wind,WIND,2038,1.6738510049825
MID,WA,Land-based Wind,WIND,2040,2.28661873536143
MID,WA,Land-based Wind,WIND,2042,2.0317099955315
MID,WA,Land-based Wind,WIND,2044,1.8429195457915
MID,WA,Land-based Wind,WIND,2046,1.9104578643415
MID,WA,Land-based Wind,WIND,2048,2.54456966314643
MID,WA,Land-based Wind,WIND,2050,3.205388968515
MID,WA,Offshore Wind,WIND,2020,0
MID,WA,Offshore Wind,WIND,2022,0
MID,WA,Offshore Wind,WIND,2024,0
MID,WA,Offshore Wind,WIND,2026,0
MID,WA,Offshore Wind,WIND,2028,0
MID,WA,Offshore Wind,WIND,2030,0
MID,WA,Offshore Wind,WIND,2032,0
MID,WA,Offshore Wind,WIND,2034,0
MID,WA,Offshore Wind,WIND,2036,0
MID,WA,Offshore Wind,WIND,2038,0
MID,WA,Offshore Wind,WIND,2040,0
MID,WA,Offshore Wind,WIND,2042,0
MID,WA,Offshore Wind,WIND,2044,0
MID,WA,Offshore Wind,WIND,2046,0
MID,WA,Offshore Wind,WIND,2048,0
MID,WA,Offshore Wind,WIND,2050,0
MID,WA,CSP,SOLAR,2020,0
MID,WA,CSP,SOLAR,2022,0
MID,WA,CSP,SOLAR,2024,0
MID,WA,CSP,SOLAR,2026,0
MID,WA,CSP,SOLAR,2028,0
MID,WA,CSP,SOLAR,2030,0
MID,WA,CSP,SOLAR,2032,0
MID,WA,CSP,SOLAR,2034,0
MID,WA,CSP,SOLAR,2036,0
MID,WA,CSP,SOLAR,2038,0
MID,WA,CSP,SOLAR,2040,0
MID,WA,CSP,SOLAR,2042,0
MID,WA,CSP,SOLAR,2044,0
MID,WA,CSP,SOLAR,2046,0
MID,WA,CSP,SOLAR,2048,0
MID,WA,CSP,SOLAR,2050,0
MID,WA,Utility PV,SOLAR,2020,0.000384615384615385
MID,WA,Utility PV,SOLAR,2022,0.000384615384615385
MID,WA,Utility PV,SOLAR,2024,0.000384615384615385
MID,WA,Utility PV,SOLAR,2026,0.000384615384615385
MID,WA,Utility PV,SOLAR,2028,0.000384615384615385
MID,WA,Utility PV,SOLAR,2030,0.000384615384615385
MID,WA,Utility PV,SOLAR,2032,0.000384615384615385
MID,WA,Utility PV,SOLAR,2034,0.000384615384615385
MID,WA,Utility PV,SOLAR,2036,0.000384615384615385
MID,WA,Utility PV,SOLAR,2038,0.000384615384615385
MID,WA,Utility PV,SOLAR,2040,0.000384615384615385
MID,WA,Utility PV,SOLAR,2042,0.000384615384615385
MID,WA,Utility PV,SOLAR,2044,0.000384615384615385
MID,WA,Utility PV,SOLAR,2046,0.000384615384615385
MID,WA,Utility PV,SOLAR,2048,0.000384615384615385
MID,WA,Utility PV,SOLAR,2050,0.000384615384615385
MID,WA,Rooftop PV,SOLAR,2020,0.0846872727272727
MID,WA,Rooftop PV,SOLAR,2022,0.0862354545454545
MID,WA,Rooftop PV,SOLAR,2024,0.0868009090909091
MID,WA,Rooftop PV,SOLAR,2026,0.0877781818181818
MID,WA,Rooftop PV,SOLAR,2028,0.0908327272727273
MID,WA,Rooftop PV,SOLAR,2030,0.0991636363636364
MID,WA,Rooftop PV,SOLAR,2032,0.108937272727273
MID,WA,Rooftop PV,SOLAR,2034,0.117427272727273
MID,WA,Rooftop PV,SOLAR,2036,0.130882727272727
MID,WA,Rooftop PV,SOLAR,2038,0.152996363636364
MID,WA,Rooftop PV,SOLAR,2040,0.179587272727273
MID,WA,Rooftop PV,SOLAR,2042,0.196179090909091
MID,WA,Rooftop PV,SOLAR,2044,0.206588181818182
MID,WA,Rooftop PV,SOLAR,2046,0.215465454545455
MID,WA,Rooftop PV,SOLAR,2048,0.226994545454545
MID,WA,Rooftop PV,SOLAR,2050,0.238338181818182
MID,WA,Storage,BATT,2020,0.258248
MID,WA,Storage,BATT,2022,0.258248
MID,WA,Storage,BATT,2024,0.258248
MID,WA,Storage,BATT,2026,0.258248
MID,WA,Storage,BATT,2028,0.258248
MID,WA,Storage,BATT,2030,0.258248
MID,WA,Storage,BATT,2032,0.258248
MID,WA,Storage,BATT,2034,0.258248
MID,WA,Storage,BATT,2036,0.258248
MID,WA,Storage,BATT,2038,0.258248126995338
MID,WA,Storage,BATT,2040,0.258248335976913
MID,WA,Storage,BATT,2042,0.258251729198621
MID,WA,Storage,BATT,2044,0.258271305118291
MID,WA,Storage,BATT,2046,0.258422865715277
MID,WA,Storage,BATT,2048,0.261327343841503
MID,WA,Storage,BATT,2050,0.264293029228935
MID,OR,Land-based Wind,WIND,2020,3.615861
MID,OR,Land-based Wind,WIND,2022,3.62735070924445
MID,OR,Land-based Wind,WIND,2024,3.62735070924445
MID,OR,Land-based Wind,WIND,2026,3.44612721663844
MID,OR,Land-based Wind,WIND,2028,3.41730856876469
MID,OR,Land-based Wind,WIND,2030,3.26031369800575
MID,OR,Land-based Wind,WIND,2032,2.6982744967696
MID,OR,Land-based Wind,WIND,2034,1.992277316788
MID,OR,Land-based Wind,WIND,2036,3.02565449908864
MID,OR,Land-based Wind,WIND,2038,3.717346636272
MID,OR,Land-based Wind,WIND,2040,4.017583625052
MID,OR,Land-based Wind,WIND,2042,2.995911675916
MID,OR,Land-based Wind,WIND,2044,4.55019626540172
MID,OR,Land-based Wind,WIND,2046,5.475322665589
MID,OR,Land-based Wind,WIND,2048,5.919225431443
MID,OR,Land-based Wind,WIND,2050,5.92489145178168
MID,OR,Offshore Wind,WIND,2020,0
MID,OR,Offshore Wind,WIND,2022,0
MID,OR,Offshore Wind,WIND,2024,0
MID,OR,Offshore Wind,WIND,2026,0
MID,OR,Offshore Wind,WIND,2028,0
MID,OR,Offshore Wind,WIND,2030,0
MID,OR,Offshore Wind,WIND,2032,0
MID,OR,Offshore Wind,WIND,2034,0
MID,OR,Offshore Wind,WIND,2036,0
MID,OR,Offshore Wind,WIND,2038,0
MID,OR,Offshore Wind,WIND,2040,0
MID,OR,Offshore Wind,WIND,2042,0
MID,OR,Offshore Wind,WIND,2044,0
MID,OR,Offshore Wind,WIND,2046,0
MID,OR,Offshore Wind,WIND,2048,0
MID,OR,Offshore Wind,WIND,2050,0
MID,OR,CSP,SOLAR,2020,0
MID,OR,CSP,SOLAR,2022,0
MID,OR,CSP,SOLAR,2024,0
MID,OR,CSP,SOLAR,2026,0
MID,OR,CSP,SOLAR,2028,0
MID,OR,CSP,SOLAR,2030,0
MID,OR,CSP,SOLAR,2032,0
MID,OR,CSP,SOLAR,2034,0
MID,OR,CSP,SOLAR,2036,0
MID,OR,CSP,SOLAR,2038,0
MID,OR,CSP,SOLAR,2040,0
MID,OR,CSP,SOLAR,2042,0
MID,OR,CSP,SOLAR,2044,0
MID,OR,CSP,SOLAR,2046,0
MID,OR,CSP,SOLAR,2048,0
MID,OR,CSP,SOLAR,2050,0
MID,OR,Utility PV,SOLAR,2020,0.363558307692308
MID,OR,Utility PV,SOLAR,2022,0.363558307692308
MID,OR,Utility PV,SOLAR,2024,0.363558307692308
MID,OR,Utility PV,SOLAR,2026,1.28989243646041
MID,OR,Utility PV,SOLAR,2028,1.28989243646041
MID,OR,Utility PV,SOLAR,2030,1.28989243646041
MID,OR,Utility PV,SOLAR,2032,1.28989243646041
MID,OR,Utility PV,SOLAR,2034,1.2952758210758
MID,OR,Utility PV,SOLAR,2036,1.2952758210758
MID,OR,Utility PV,SOLAR,2038,1.4715168105915
MID,OR,Utility PV,SOLAR,2040,1.4715168105915
MID,OR,Utility PV,SOLAR,2042,2.13413219520689
MID,OR,Utility PV,SOLAR,2044,2.13213219520689
MID,OR,Utility PV,SOLAR,2046,2.12511119520689
MID,OR,Utility PV,SOLAR,2048,2.78170713279237
MID,OR,Utility PV,SOLAR,2050,2.78170713279237
MID,OR,Rooftop PV,SOLAR,2020,0.17475
MID,OR,Rooftop PV,SOLAR,2022,0.212482727272727
MID,OR,Rooftop PV,SOLAR,2024,0.253087272727273
MID,OR,Rooftop PV,SOLAR,2026,0.322025454545455
MID,OR,Rooftop PV,SOLAR,2028,0.419272727272727
MID,OR,Rooftop PV,SOLAR,2030,0.546213636363636
MID,OR,Rooftop PV,SOLAR,2032,0.695453636363636
MID,OR,Rooftop PV,SOLAR,2034,0.862604545454545
MID,OR,Rooftop PV,SOLAR,2036,1.05238
MID,OR,Rooftop PV,SOLAR,2038,1.25591909090909
MID,OR,Rooftop PV,SOLAR,2040,1.47010454545455
MID,OR,Rooftop PV,SOLAR,2042,1.6776
MID,OR,Rooftop PV,SOLAR,2044,1.88006909090909
MID,OR,Rooftop PV,SOLAR,2046,2.07520818181818
MID,OR,Rooftop PV,SOLAR,2048,2.26114181818182
MID,OR,Rooftop PV,SOLAR,2050,2.43270454545455
MID,OR,Storage,BATT,2020,0.0025
MID,OR,Storage,BATT,2022,0.0025
MID,OR,Storage,BATT,2024,0.0025
MID,OR,Storage,BATT,2026,0.0025
MID,OR,Storage,BATT,2028,0.0025
MID,OR,Storage,BATT,2030,0.0025
MID,OR,Storage,BATT,2032,0.0025
MID,OR,Storage,BATT,2034,0.0025
MID,OR,Storage,BATT,2036,0.00254737116056766
MID,OR,Storage,BATT,2038,0.00256220456414151
MID,OR,Storage,BATT,2040,0.00650557011553174
MID,OR,Storage,BATT,2042,0.00650557011553174
MID,OR,Storage,BATT,2044,0.00650557011553174
MID,OR,Storage,BATT,2046,0.00962185599066514
MID,OR,Storage,BATT,2048,0.0120337825545564
MID,OR,Storage,BATT,2050,0.0345163778691666
MID,NV,Land-based Wind,WIND,2020,0.65181
MID,NV,Land-based Wind,WIND,2022,0.65181
MID,NV,Land-based Wind,WIND,2024,0.65181
MID,NV,Land-based Wind,WIND,2026,0.65181
MID,NV,Land-based Wind,WIND,2028,0.65181
MID,NV,Land-based Wind,WIND,2030,0.65181
MID,NV,Land-based Wind,WIND,2032,0.670972700293
MID,NV,Land-based Wind,WIND,2034,0.670972700293
MID,NV,Land-based Wind,WIND,2036,0.74318916241
MID,NV,Land-based Wind,WIND,2038,0.862174118801
MID,NV,Land-based Wind,WIND,2040,0.871954869076
MID,NV,Land-based Wind,WIND,2042,1.058783920285
MID,NV,Land-based Wind,WIND,2044,1.785464856776
MID,NV,Land-based Wind,WIND,2046,1.785464856776
MID,NV,Land-based Wind,WIND,2048,1.785464856776
MID,NV,Land-based Wind,WIND,2050,2.026375086496
MID,NV,Offshore Wind,WIND,2020,0
MID,NV,Offshore Wind,WIND,2022,0
MID,NV,Offshore Wind,WIND,2024,0
MID,NV,Offshore Wind,WIND,2026,0
MID,NV,Offshore Wind,WIND,2028,0
MID,NV,Offshore Wind,WIND,2030,0
MID,NV,Offshore Wind,WIND,2032,0
MID,NV,Offshore Wind,WIND,2034,0
MID,NV,Offshore Wind,WIND,2036,0
MID,NV,Offshore Wind,WIND,2038,0
MID,NV,Offshore Wind,WIND,2040,0
MID,NV,Offshore Wind,WIND,2042,0
MID,NV,Offshore Wind,WIND,2044,0
MID,NV,Offshore Wind,WIND,2046,0
MID,NV,Offshore Wind,WIND,2048,0
MID,NV,Offshore Wind,WIND,2050,0
MID,NV,CSP,SOLAR,2020,0.174
MID,NV,CSP,SOLAR,2022,0.174
MID,NV,CSP,SOLAR,2024,0.174
MID,NV,CSP,SOLAR,2026,0.174
MID,NV,CSP,SOLAR,2028,0.174
MID,NV,CSP,SOLAR,2030,0.174
MID,NV,CSP,SOLAR,2032,0.174
MID,NV,CSP,SOLAR,2034,0.174
MID,NV,CSP,SOLAR,2036,0.174
MID,NV,CSP,SOLAR,2038,0.174
MID,NV,CSP,SOLAR,2040,0.174
MID,NV,CSP,SOLAR,2042,0.174
MID,NV,CSP,SOLAR,2044,0.174
MID,NV,CSP,SOLAR,2046,0.064
MID,NV,CSP,SOLAR,2048,0.064
MID,NV,CSP,SOLAR,2050,0.064
MID,NV,Utility PV,SOLAR,2020,2.15101823076923
MID,NV,Utility PV,SOLAR,2022,2.15101823076923
MID,NV,Utility PV,SOLAR,2024,2.15101823076923
MID,NV,Utility PV,SOLAR,2026,2.5697111387743
MID,NV,Utility PV,SOLAR,2028,2.5697111387743
MID,NV,Utility PV,SOLAR,2030,3.11141692307692
MID,NV,Utility PV,SOLAR,2032,3.11141692307692
MID,NV,Utility PV,SOLAR,2034,3.11141692307692
MID,NV,Utility PV,SOLAR,2036,3.11141692307692
MID,NV,Utility PV,SOLAR,2038,3.11141692307692
MID,NV,Utility PV,SOLAR,2040,3.11141692307692
MID,NV,Utility PV,SOLAR,2042,2.95624515384615
MID,NV,Utility PV,SOLAR,2044,2.66884515384615
MID,NV,Utility PV,SOLAR,2046,1.72161770474325
MID,NV,Utility PV,SOLAR,2048,1.34323381707787
MID,NV,Utility PV,SOLAR,2050,1.34323381707787
MID,NV,Rooftop PV,SOLAR,2020,0.270673636363636
MID,NV,Rooftop PV,SOLAR,2022,0.286561818181818
MID,NV,Rooftop PV,SOLAR,2024,0.29806
MID,NV,Rooftop PV,SOLAR,2026,0.309396363636364
MID,NV,Rooftop PV,SOLAR,2028,0.32095
MID,NV,Rooftop PV,SOLAR,2030,0.338733636363636
MID,NV,Rooftop PV,SOLAR,2032,0.352120909090909
MID,NV,Rooftop PV,SOLAR,2034,0.361972727272727
MID,NV,Rooftop PV,SOLAR,2036,0.372445454545455
MID,NV,Rooftop PV,SOLAR,2038,0.382994545454545
MID,NV,Rooftop PV,SOLAR,2040,0.394099090909091
MID,NV,Rooftop PV,SOLAR,2042,0.400594545454545
MID,NV,Rooftop PV,SOLAR,2044,0.410610909090909
MID,NV,Rooftop PV,SOLAR,2046,0.419249090909091
MID,NV,Rooftop PV,SOLAR,2048,0.427789090909091
MID,NV,Rooftop PV,SOLAR,2050,0.436294545454545
MID,NV,Storage,BATT,2020,0
MID,NV,Storage,BATT,2022,0
MID,NV,Storage,BATT,2024,0
MID,NV,Storage,BATT,2026,0
MID,NV,Storage,BATT,2028,0
MID,NV,Storage,BATT,2030,0
MID,NV,Storage,BATT,2032,0
MID,NV,Storage,BATT,2034,0
MID,NV,Storage,BATT,2036,6.20778534954737e-07
MID,NV,Storage,BATT,2038,0.00900206079023223
MID,NV,Storage,BATT,2040,0.0124894166492602
MID,NV,Storage,BATT,2042,0.0138014760091799
MID,NV,Storage,BATT,2044,0.0281630014115899
MID,NV,Storage,BATT,2046,0.0281630014115899
MID,NV,Storage,BATT,2048,0.0373380609493324
MID,NV,Storage,BATT,2050,0.0466122204594407
MID,ID,Land-based Wind,WIND,2020,0.966824
MID,ID,Land-based Wind,WIND,2022,0.966824
MID,ID,Land-based Wind,WIND,2024,0.966824
MID,ID,Land-based Wind,WIND,2026,0.966824
MID,ID,Land-based Wind,WIND,2028,0.9665
MID,ID,Land-based Wind,WIND,2030,0.8915
MID,ID,Land-based Wind,WIND,2032,0.8507
MID,ID,Land-based Wind,WIND,2034,0.7262
MID,ID,Land-based Wind,WIND,2036,0.844380981938
MID,ID,Land-based Wind,WIND,2038,0.870430583283
MID,ID,Land-based Wind,WIND,2040,0.948372835599
MID,ID,Land-based Wind,WIND,2042,0.55825090653229
MID,ID,Land-based Wind,WIND,2044,0.997780554168308
MID,ID,Land-based Wind,WIND,2046,1.372026693728
MID,ID,Land-based Wind,WIND,2048,1.555224413328
MID,ID,Land-based Wind,WIND,2050,1.56173681324
MID,ID,Offshore Wind,WIND,2020,0
MID,ID,Offshore Wind,WIND,2022,0
MID,ID,Offshore Wind,WIND,2024,0
MID,ID,Offshore Wind,WIND,2026,0
MID,ID,Offshore Wind,WIND,2028,0
MID,ID,Offshore Wind,WIND,2030,0
MID,ID,Offshore Wind,WIND,2032,0
MID,ID,Offshore Wind,WIND,2034,0
MID,ID,Offshore Wind,WIND,2036,0
MID,ID,Offshore Wind,WIND,2038,0
MID,ID,Offshore Wind,WIND,2040,0
MID,ID,Offshore Wind,WIND,2042,0
MID,ID,Offshore Wind,WIND,2044,0
MID,ID,Offshore Wind,WIND,2046,0
MID,ID,Offshore Wind,WIND,2048,0
MID,ID,Offshore Wind,WIND,2050,0
MID,ID,CSP,SOLAR,2020,0
MID,ID,CSP,SOLAR,2022,0
MID,ID,CSP,SOLAR,2024,0
MID,ID,CSP,SOLAR,2026,0
MID,ID,CSP,SOLAR,2028,0
MID,ID,CSP,SOLAR,2030,0
MID,ID,CSP,SOLAR,2032,0
MID,ID,CSP,SOLAR,2034,0
MID,ID,CSP,SOLAR,2036,0
MID,ID,CSP,SOLAR,2038,0
MID,ID,CSP,SOLAR,2040,0
MID,ID,CSP,SOLAR,2042,0
MID,ID,CSP,SOLAR,2044,0
MID,ID,CSP,SOLAR,2046,0
MID,ID,CSP,SOLAR,2048,0
MID,ID,CSP,SOLAR,2050,0
MID,ID,Utility PV,SOLAR,2020,0.310325
MID,ID,Utility PV,SOLAR,2022,0.310325
MID,ID,Utility PV,SOLAR,2024,0.310325
MID,ID,Utility PV,SOLAR,2026,1.51161816658877
MID,ID,Utility PV,SOLAR,2028,1.51161816658877
MID,ID,Utility PV,SOLAR,2030,2.59886247428107
MID,ID,Utility PV,SOLAR,2032,2.59886247428107
MID,ID,Utility PV,SOLAR,2034,3.83066062812723
MID,ID,Utility PV,SOLAR,2036,3.83066062812723
MID,ID,Utility PV,SOLAR,2038,4.68788155120415
MID,ID,Utility PV,SOLAR,2040,4.68788155120415
MID,ID,Utility PV,SOLAR,2042,5.76887847428107
MID,ID,Utility PV,SOLAR,2044,5.76887847428107
MID,ID,Utility PV,SOLAR,2046,5.76887847428107
MID,ID,Utility PV,SOLAR,2048,5.76887847428107
MID,ID,Utility PV,SOLAR,2050,5.76887847428107
MID,ID,Rooftop PV,SOLAR,2020,0.0288181818181818
MID,ID,Rooftop PV,SOLAR,2022,0.0382372727272727
MID,ID,Rooftop PV,SOLAR,2024,0.0432545454545454
MID,ID,Rooftop PV,SOLAR,2026,0.0502163636363636
MID,ID,Rooftop PV,SOLAR,2028,0.0590745454545455
MID,ID,Rooftop PV,SOLAR,2030,0.0703836363636364
MID,ID,Rooftop PV,SOLAR,2032,0.0795763636363636
MID,ID,Rooftop PV,SOLAR,2034,0.0876590909090909
MID,ID,Rooftop PV,SOLAR,2036,0.0946781818181818
MID,ID,Rooftop PV,SOLAR,2038,0.102084545454545
MID,ID,Rooftop PV,SOLAR,2040,0.11023
MID,ID,Rooftop PV,SOLAR,2042,0.115148181818182
MID,ID,Rooftop PV,SOLAR,2044,0.121595454545455
MID,ID,Rooftop PV,SOLAR,2046,0.127069090909091
MID,ID,Rooftop PV,SOLAR,2048,0.132896363636364
MID,ID,Rooftop PV,SOLAR,2050,0.139118181818182
MID,ID,Storage,BATT,2020,0
MID,ID,Storage,BATT,2022,0
MID,ID,Storage,BATT,2024,0
MID,ID,Storage,BATT,2026,0
MID,ID,Storage,BATT,2028,0
MID,ID,Storage,BATT,2030,0
MID,ID,Storage,BATT,2032,0
MID,ID,Storage,BATT,2034,0
MID,ID,Storage,BATT,2036,0
MID,ID,Storage,BATT,2038,5.60992041239246e-07
MID,ID,Storage,BATT,2040,2.57630084708557e-06
MID,ID,Storage,BATT,2042,2.57630084708557e-06
MID,ID,Storage,BATT,2044,1.31145521040723e-05
MID,ID,Storage,BATT,2046,0.00109760104612122
MID,ID,Storage,BATT,2048,0.00409697707981362
MID,ID,Storage,BATT,2050,0.00826422936309152
EV,CA,Land-based Wind,WIND,2020,6.44818781733642
EV,CA,Land-based Wind,WIND,2022,6.53419699801754
EV,CA,Land-based Wind,WIND,2024,6.37355695197969
EV,CA,Land-based Wind,WIND,2026,6.4878320808741
EV,CA,Land-based Wind,WIND,2028,6.64026515599669
EV,CA,Land-based Wind,WIND,2030,7.06788011607822
EV,CA,Land-based Wind,WIND,2032,7.05096391329678
EV,CA,Land-based Wind,WIND,2034,6.90510072660281
EV,CA,Land-based Wind,WIND,2036,6.93293637865681
EV,CA,Land-based Wind,WIND,2038,7.01451148432681
EV,CA,Land-based Wind,WIND,2040,7.52965574440481
EV,CA,Land-based Wind,WIND,2042,7.24392429020021
EV,CA,Land-based Wind,WIND,2044,8.69416629714477
EV,CA,Land-based Wind,WIND,2046,8.38181363504047
EV,CA,Land-based Wind,WIND,2048,9.16272970028802
EV,CA,Land-based Wind,WIND,2050,9.81518089394071
EV,CA,Offshore Wind,WIND,2020,0
EV,CA,Offshore Wind,WIND,2022,0
EV,CA,Offshore Wind,WIND,2024,0
EV,CA,Offshore Wind,WIND,2026,0
EV,CA,Offshore Wind,WIND,2028,0
EV,CA,Offshore Wind,WIND,2030,0
EV,CA,Offshore Wind,WIND,2032,0
EV,CA,Offshore Wind,WIND,2034,0
EV,CA,Offshore Wind,WIND,2036,0
EV,CA,Offshore Wind,WIND,2038,0
EV,CA,Offshore Wind,WIND,2040,0
EV,CA,Offshore Wind,WIND,2042,0
EV,CA,Offshore Wind,WIND,2044,0
EV,CA,Offshore Wind,WIND,2046,0
EV,CA,Offshore Wind,WIND,2048,0
EV,CA,Offshore Wind,WIND,2050,0
EV,CA,CSP,SOLAR,2020,1.383187
EV,CA,CSP,SOLAR,2022,1.383187
EV,CA,CSP,SOLAR,2024,1.383187
EV,CA,CSP,SOLAR,2026,1.383187
EV,CA,CSP,SOLAR,2028,1.383187
EV,CA,CSP,SOLAR,2030,1.383187
EV,CA,CSP,SOLAR,2032,1.383187
EV,CA,CSP,SOLAR,2034,1.383187
EV,CA,CSP,SOLAR,2036,1.383187
EV,CA,CSP,SOLAR,2038,1.383187
EV,CA,CSP,SOLAR,2040,1.383187
EV,CA,CSP,SOLAR,2042,1.35314
EV,CA,CSP,SOLAR,2044,0.41764
EV,CA,CSP,SOLAR,2046,0.41764
EV,CA,CSP,SOLAR,2048,0.41764
EV,CA,CSP,SOLAR,2050,1.2265774151273
EV,CA,Utility PV,SOLAR,2020,11.5704223076923
EV,CA,Utility PV,SOLAR,2022,16.1375057694769
EV,CA,Utility PV,SOLAR,2024,18.0856680315307
EV,CA,Utility PV,SOLAR,2026,18.9720799447894
EV,CA,Utility PV,SOLAR,2028,20.6291300828563
EV,CA,Utility PV,SOLAR,2030,27.7803163604335
EV,CA,Utility PV,SOLAR,2032,29.6948709085521
